1 x || xx
1 x || xx
1 x || xx
1 x || xx
1 x || xx
1 x || xx
1 x || xx
1 x || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 0 || xx
0 1 || xx
0 1 || xx
0 1 || xx
0 1 || xx
0 1 || xx
0 1 || xx
0 1 || xx
0 1 || xx
1 0 || xx
1 0 || xx
1 0 || xx
1 0 || xx
1 0 || xx
1 0 || xx
1 0 || xx
1 0 || xx
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 0x
0 0 || 1x
0 0 || 1x
0 0 || 1x
0 0 || 1x
0 0 || 1x
0 0 || 1x
0 0 || 1x
0 0 || 1x
1 0 || 0x
1 0 || 0x
1 0 || 0x
1 0 || 0x
1 0 || 0x
1 0 || 0x
1 0 || 0x
1 0 || 0x
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 01
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
0 0 || 00
